market,y_true,sep_proxy,vol_dx,liq_proxy,n_obs,v_sum,v_mean,v_median,trades_per_hour,p_raw,p_smoothed,p_posterior,log_score_raw,log_score_smoothed,log_score_posterior,p_logreg,log_score_logreg
geopolitics-will-trump-pardon-maduro-by-december-31,0,25.579405871143926,0.17629003307599203,0.0,1965.0,126261.89199,64.25541577099237,0.0,1000565770.8628005,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.33470389477151674,0.4075230664097305
politics-israel-strike-on-the-west-bank-by-december-31-586,0,17.191667793332613,0.3674260273391387,0.0,1487.0,299689.20630399993,201.53947969334226,0.0,1000785193.4941112,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.2658960191913422,0.30910459717385463
politics-nicols-maduro-seen-in-public-by-january-5,1,32.6916622987748,0.3501567690111244,0.0,582.0,1582409.7324390004,2718.9170660463924,0.0,582000000.0,0.999999,0.999999,0.999999,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.990775377381074,0.009267432926159936
politics-us-anti-cartel-operation-on-foreign-soil-by-december-31,1,13.290957837806848,0.3019680204262695,0.0,2324.0,26909451.375286993,11578.937769056365,0.0,1000526189.906721,0.999999,0.999999,0.999999,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.8513263793914048,0.16095969938626212
politics-us-forces-in-iran-in-2025,0,32.79732834026595,0.06392435462280562,0.0,5275.0,427544.848669,81.051156145782,0.0,1000210681.5548298,0.002,0.0020000000000064467,0.002,0.0020020026706730793,0.002002002670679531,0.0020020026706730793,0.011944013757969562,0.01201591660286692
politics-will-alberta-vote-for-independence-in-2025,0,31.695170158050974,0.09847736580942662,0.0,6558.0,1038072.6924250001,158.29104794525773,0.0,1000160982.8426181,0.002,0.0025892929991505466,0.002,0.0020020026706730793,0.002592651016113982,0.0020020026706730793,0.0027157594005130206,0.0027194537652602477
politics-will-trump-try-to-fire-powell-in-2025,0,21.15850237841529,0.1501277770291216,0.0,4682.0,460061.66390700004,98.26178212451944,0.0,1000249243.3683461,0.001,0.0010000000000000009,0.001,0.0010005003335835344,0.0010005003335835344,0.0010005003335835344,0.016474282211502253,0.01661149224376743
politics-will-venezuela-give-the-us-oil-by-january-31,1,16.01622367686266,0.11843134355618835,0.0,496.0,14944097.06365492,30129.22795091718,0.0,496000000.0,0.948,0.948,0.948,0.053400776727115296,0.053400776727115296,0.053400776727115296,0.8305405401084975,0.1856785370220261
tech-fanduel-launches-prediction-markets-with-cme-by-end-of-2025,1,24.472360504677805,0.20341850489380117,0.0,2665.0,185050.75321,69.43743084803002,0.0,1000417101.1470282,0.999999,0.999999,0.999999,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.8295499654600085,0.18687193552979547
tech-musk-no-longer-richest-person-in-the-world-by-end-of-year,0,28.36120269929524,0.09064590164608309,0.0,5060.0,58193351.82052519,11500.662415123556,0.0,1000219635.4052274,0.002,0.0020000000000000295,0.002,0.0020020026706730793,0.0020020026706730793,0.0020020026706730793,0.02920256987044173,0.029637452300934165
tech-musk-out-as-tesla-ceo-in-2025,0,22.680967692258562,0.10508322660116047,0.0,7709.0,15949730.349987999,2068.975269164353,0.0,1000158569.9870261,0.004,0.004902391716643948,0.004,0.004008021397538822,0.0049144478576724345,0.004008021397538822,0.0007356910874179016,0.0007359618409080396
tech-nothing-ever-happens-ai-edition,1,20.98094806398686,0.17782049415364332,0.0,3118.0,168924.04156,54.17704989095574,0.0,1000338650.7441404,0.999999,0.999999,0.999999,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.2475044339571019,1.396326782155674
tech-openai-announces-it-has-achieved-agi-in-2025,0,25.172295872642156,0.08933806988532071,0.0,9260.0,336963.346039,36.38913024179266,0.0,1000120004.8001919,0.006,0.006517814130852388,0.006,0.006018072325563021,0.00653914783129626,0.006018072325563021,0.033918460066125304,0.03450703846249613
tech-us-enacts-ai-safety-bill-in-2025,0,16.99653277512456,0.14153187882159435,0.0,9050.0,128939.35741099999,14.247442807845303,0.0,1000122789.78389,0.014,0.01684971772028256,0.014,0.014098924379501648,0.016993289258962433,0.014098924379501648,0.00041108453239557254,0.00041116905080556653
tech-will-a-chinese-ai-model-become-1-in-2025,0,9.830476606568546,0.1652536163190449,0.0,4993.0,268209.86428800004,53.71717690526738,0.0,1000211451.7834289,0.001,0.0010000000000000373,0.001,0.0010005003335835344,0.0010005003335835344,0.0010005003335835344,0.013619268344199513,0.013712861329484157
tech-will-apple-release-a-new-product-line-in-2025,0,17.91855818739289,0.160283171000129,0.0,7872.0,440396.85920400004,55.94472296798781,0.0,1000148226.5749074,0.002,0.0025545507787252996,0.002,0.0020020026706730793,0.002557819211003264,0.0020020026706730793,0.05462392189531303,0.05617246440761243
tech-will-apple-release-airtag-2-by-june-30,1,4.3182970535322704,0.1711340876811704,500000.0000000004,1102.0,108288.251337,98.26520085027222,0.0,1001059803.1794094,0.775,0.7736144967597445,0.775,0.25489224962879004,0.25668159567046167,0.25489224962879004,0.8990652662701109,0.10639964840250686
tech-will-polymarket-us-go-live-in-2025,1,40.35636467791634,0.08549642259615897,0.0,4552.0,1408240527.301742,309367.4269116305,0.0,1000256363.3034241,0.998,0.998,0.998,0.0020020026706730793,0.0020020026706730793,0.0020020026706730793,1e-06,13.815510557964274
tech-x-relaunches-vine-in-2025,0,12.564986225414712,0.2223868882501253,0.0,4757.0,150190.69140100002,31.57256493609418,0.0,1000245312.7737865,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.016930220377362176,0.017075174963095355
world-german-government-files-appeal-to-ban-afd-in-2025,0,59.113455605516506,0.044750409261067305,0.0,6480.0,139396.422402,21.511793580555555,0.0,1000171497.1702967,0.004,0.004689492697096354,0.004,0.004008021397538822,0.0047005228654134566,0.004008021397538822,0.08821290611653215,0.09234876585060606
world-iran-nuclear-test-in-2025,0,11.64944015991308,0.1973464949641417,0.0,5445.0,204652.662825,37.58542935261708,0.0,1000204102.4594346,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.00880280307925689,0.00884177663655501
world-maduro-travels-outside-venezuela-by-march-31,1,20.61614755857481,0.2605721787387229,0.0,1535.0,240619.20417400007,156.75518187231276,0.0,1000724375.2263672,0.999999,0.999999,0.999999,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.9408322486916096,0.0609904244792363
world-north-korea-missile-launch-by-january-31-661,1,0.6479327973777471,0.5456173529864675,0.0003379310655980531,528.0,117218.79208300001,222.00528803598488,0.0,528000000.0,0.105,0.120176953378888,0.105,2.2537949288246137,2.1187900108812254,2.2537949288246137,0.5882250974890941,0.5306455854809505
world-us-agrees-to-give-ukraine-security-guarantee-in-2025,0,22.348742683233205,0.23143128691563325,0.0,3867.0,209075.96015399997,54.066708082234285,0.0,1000301789.1787022,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.03275028714248008,0.03329858226636112
world-will-china-unban-bitcoin-in-2025,0,10.597714888512616,0.25717772830325153,0.0,5020.0,30001083.11908503,5976.311378303791,0.0,1000221385.8755811,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.014595109178471519,0.014702665599094661
world-will-north-and-south-korea-engage-in-direct-talks-in-2025,0,23.58849067771909,0.1172568091957819,0.0,5714.0,184121.356318,32.2228484980749,0.0,1000213945.3466887,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.00807814180196068,0.00811094677772235
world-will-russia-announce-a-christmas-truce,0,8.766872128863147,0.3238562271642112,0.0,1201.0,458738.607631,381.96386980099913,0.0,1000833333.3333334,0.002,0.002,0.002,0.0020020026706730793,0.0020020026706730793,0.0020020026706730793,0.3735391576603627,0.4676690088505387
world-will-the-iranian-regime-fall-in-2025,0,35.06489421154808,0.12550594147275945,0.0,5376.0,131327482.38061495,24428.475145203673,0.0,1000186046.511628,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.29647192985429316,0.3516475025190758
world-will-ukraine-agree-to-cede-territory-to-russia,0,22.14911342283596,0.11172449381052485,0.0,7732.0,30539091.384992044,3949.7014207180605,0.0,1000150910.8548021,0.012,0.010184764113618454,0.012,0.012072581234269249,0.010236983688921428,0.012072581234269249,0.0018983693914290812,0.0019001735783059047
